"county_areas","region","date","month","year","quarter","rate_homicide_uns","rate_offences_against_the_person_uns","rate_sexual_offences_uns","rate_burglary_uns","rate_robbery_uns","rate_theft_and_handling_uns","rate_fraud_and_forgery_uns","rate_criminal_damage_uns","rate_drugs_offences_uns","rate_public_order_offences_uns","rate_all_other_offences_uns","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Avon and Somerset","South West","2014-01-01","Jan",2014,"Q1_2014",0,21.4,32.7,2,0,8.6,0,13.1,2.6,18.5,12.5,13.5,100
"Bedfordshire","Thames and Chiltern","2014-01-01","Jan",2014,"Q1_2014",100,29.9,33.3,36.4,30.4,5.1,15,26.7,8.8,23.1,13.3,7.1,100
"Cambridgeshire","East of England","2014-01-01","Jan",2014,"Q1_2014",0,17.2,23.1,18.2,40,9.2,28.6,9.1,2.1,5.1,24.3,13.4,100
"Cheshire","Mersey-Cheshire","2014-01-01","Jan",2014,"Q1_2014",0,19,6.3,11.6,0,2.4,6.7,7.1,4.5,9.4,9.1,5.7,100
"Cleveland","North East","2014-01-01","Jan",2014,"Q1_2014",60,27,35.3,5.3,40,8.5,21.4,22,3,18,29.2,6.6,100
"Cumbria","North West","2014-01-01","Jan",2014,"Q1_2014",0,10.3,42.9,0,0,5.7,0,7.3,1.9,2.5,8.8,5.9,100
"Derbyshire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",100,30.1,24.1,10,28.6,8.1,0,18.5,9.5,20.3,30,3.5,100
"Devon and Cornwall","South West","2014-01-01","Jan",2014,"Q1_2014",0,22.5,15.8,13.8,0,10.4,10,10.8,5,11.7,15.7,7,100
"Dorset","Oxfordshire","2014-01-01","Jan",2014,"Q1_2014",0,25,53.8,4.8,0,5,0,11.8,9.6,16,18.7,11.8,100
"Durham","North East","2014-01-01","Jan",2014,"Q1_2014",0,21.6,25,12.5,0,10.5,9.1,19.2,2.6,9.9,29.4,6.5,100
"Dyfed Powys","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,17.9,42.9,11.1,50,9.2,0,6.3,5.7,8,5,5.8,100
"Essex","East of England","2014-01-01","Jan",2014,"Q1_2014",0,21.6,35.3,25,22.2,7.1,6.1,10.6,3.5,5.6,8.8,16.3,100
"Gloucestershire","South West","2014-01-01","Jan",2014,"Q1_2014",0,17.4,20,4.8,25,0,10,22.2,6.1,3.8,16.7,6.7,100
"GreaterManchester","North West","2014-01-01","Jan",2014,"Q1_2014",33.3,20.9,27.8,9.6,8.1,6.6,13.3,15.4,5.7,11.1,10.5,6.4,100
"Gwent","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,28.6,0,15.4,50,9.2,0,9.5,7.7,12.9,16,22.6,100
"Hampshire","Oxfordshire","2014-01-01","Jan",2014,"Q1_2014",0,21.5,47.2,30.6,42.9,11.5,28.6,23.5,4.1,17.9,15.2,12.8,100
"Hertfordshire","Thames and Chiltern","2014-01-01","Jan",2014,"Q1_2014",0,22.6,42.9,16.7,0,13.9,18.8,18.2,7.9,13.1,17.6,15.9,100
"Humberside","Yorkshire and Humberside","2014-01-01","Jan",2014,"Q1_2014",100,17.2,23.8,14.7,0,8.4,15.8,6,4.7,7.2,6,5.1,100
"Kent","South East","2014-01-01","Jan",2014,"Q1_2014",0,27.9,17.4,4.8,9.1,8.7,19.2,20.9,4.5,17.4,11.9,13.4,100
"Lancashire","North West","2014-01-01","Jan",2014,"Q1_2014",0,23.1,14.7,9.8,0,5.7,4.8,10.2,1.9,12.2,16.8,11.5,100
"Leicestershire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",33.3,16.5,28.6,27.8,20,5.5,14.3,17.9,5.6,16.7,8.6,3.5,100
"Lincolnshire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",0,15.2,28.6,6.7,0,9.9,0,10.3,3.4,6.6,55.6,14.8,100
"Merseyside","Mersey-Cheshire","2014-01-01","Jan",2014,"Q1_2014",33.3,26,22.9,18.8,12.5,6,4.5,9.7,8.2,14.7,8.1,7.6,100
"Metropolitan and City","Greater London","2014-01-01","Jan",2014,"Q1_2014",0,29.6,36.8,18.9,28.6,11.6,14.8,16.6,5,17.9,16.7,17.7,100
"Norfolk","East of England","2014-01-01","Jan",2014,"Q1_2014",0,17.9,0,0,0,6.9,16.7,10.9,4.8,10.8,11,7.5,100
"Northamptonshire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",0,19.7,0,27.3,42.9,10.5,0,29,10.3,21.6,15.4,3.2,100
"Northumbria","North East","2014-01-01","Jan",2014,"Q1_2014",0,25,25,12.9,13.3,7.4,6.1,18,14.2,15.4,17.6,9.5,100
"North Wales","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,22.4,28.6,7.1,0,5.2,12.5,10,0,12.8,5.6,5,100
"North Yorkshire","Yorkshire and Humberside","2014-01-01","Jan",2014,"Q1_2014",0,30.5,0,5.3,66.7,7.1,33.3,17,12.7,9.1,6.7,8.7,100
"Nottinghamshire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",0,29,17.6,4.4,4.3,8.2,0,11.3,4.9,17.6,17.3,11.7,100
"South Wales","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,23.5,50,14,0,2.7,13.6,8.8,3.6,14.4,14.6,11.3,100
"South Yorkshire","Yorkshire and Humberside","2014-01-01","Jan",2014,"Q1_2014",33.3,20.2,10,13.6,9.1,6.8,7.1,13,6.7,9.4,18.5,4.5,100
"Staffordshire","West Midlands","2014-01-01","Jan",2014,"Q1_2014",0,23.6,33.3,15.2,21.7,11.8,14.3,13.1,8.7,17.8,11.5,4.6,100
"Suffolk","East of England","2014-01-01","Jan",2014,"Q1_2014",0,10.8,0,0,33.3,7.5,0,13.2,0,6.3,2.9,13.2,100
"Surrey","South East","2014-01-01","Jan",2014,"Q1_2014",0,28,36.4,16.7,50,16.2,0,20,6,9.6,11.9,9.5,100
"Sussex","South East","2014-01-01","Jan",2014,"Q1_2014",0,32.5,34.4,13,11.1,7.1,5.3,17,10.2,16.3,26.1,8.4,100
"Thames Valley","Thames and Chiltern","2014-01-01","Jan",2014,"Q1_2014",20,28.1,20,18,35,9.7,14.3,11.9,5.2,18.8,21.7,7.1,100
"Warwickshire","West Midlands","2014-01-01","Jan",2014,"Q1_2014",0,10.6,0,10.5,0,0,33.3,6.3,0,17.6,15.4,11,100
"West Mercia","West Midlands","2014-01-01","Jan",2014,"Q1_2014",0,17.8,37.5,10.3,50,1.7,9.1,14.9,0,14.7,19.4,12.9,100
"West Midlands","West Midlands","2014-01-01","Jan",2014,"Q1_2014",0,29.8,21.1,15.7,23.4,8.7,26.2,18.9,5.7,19.6,16.3,9.2,100
"West Yorkshire","Yorkshire and Humberside","2014-01-01","Jan",2014,"Q1_2014",0,24.9,29,20.7,8.8,9.4,34.1,22.4,10,21.8,21.8,13.8,100
"Wiltshire","Oxfordshire","2014-01-01","Jan",2014,"Q1_2014",0,25.6,10,6.3,0,7.6,0,7.5,12.1,18.2,8.5,5,100
"Avon and Somerset","South West","2014-02-01","Feb",2014,"Q1_2014",0,22,24.1,23.5,46.2,8.6,14.3,15.6,2.1,14.9,19.1,14.7,100
"Bedfordshire","Thames and Chiltern","2014-02-01","Feb",2014,"Q1_2014",0,30.6,33.3,21.4,12.5,13.4,22.2,25,0,50,8.3,20,100
"Cambridgeshire","East of England","2014-02-01","Feb",2014,"Q1_2014",0,22.1,27.3,13.8,0,3.5,5.6,16,6.3,16.7,13.3,12.6,100
"Cheshire","Mersey-Cheshire","2014-02-01","Feb",2014,"Q1_2014",0,19.3,5,7.4,41.7,8.6,0,2.4,7.5,10.4,6.9,5.6,100
"Cleveland","North East","2014-02-01","Feb",2014,"Q1_2014",0,26.6,36,15,69.2,10.3,0,25,9.6,24.8,18.5,13.7,0
"Cumbria","North West","2014-02-01","Feb",2014,"Q1_2014",0,19.3,25,18.8,0,1.7,0,0,4.4,4.3,6.8,9,100
"Derbyshire","East Midlands","2014-02-01","Feb",2014,"Q1_2014",0,25.3,17.6,25,22.2,8.6,8.3,11.5,5.6,26.2,23.3,8.6,100
"Devon and Cornwall","South West","2014-02-01","Feb",2014,"Q1_2014",100,29,17.6,9.3,16.7,8,5.9,16.9,6.4,18.6,9.4,6.4,100
"Dorset","Oxfordshire","2014-02-01","Feb",2014,"Q1_2014",0,25.3,22.2,12.5,0,10.4,50,12.9,12.5,16.7,18.1,13.2,100
"Durham","North East","2014-02-01","Feb",2014,"Q1_2014",0,28.4,25,23.1,0,9.6,0,7.7,3.2,12.7,30,10.8,100
"Dyfed Powys","Cymru/Wales","2014-02-01","Feb",2014,"Q1_2014",0,24.7,20,7.1,0,5.9,0,22.7,3,10.5,6.3,13.7,100
"Essex","East of England","2014-02-01","Feb",2014,"Q1_2014",0,21.2,25,15.4,57.1,9.8,13.6,14.7,6,13.2,4.4,10.2,100
"Gloucestershire","South West","2014-02-01","Feb",2014,"Q1_2014",100,27.8,33.3,0,33.3,8.8,0,15.8,0,5.6,10,11.1,100
"GreaterManchester","North West","2014-02-01","Feb",2014,"Q1_2014",100,19.2,39.7,11.3,13.5,7.1,11.5,9.8,4.1,10,14.6,4.3,100
"Gwent","Cymru/Wales","2014-02-01","Feb",2014,"Q1_2014",0,36.6,47.4,7.1,25,7.2,21.4,16.3,9.4,16.8,4,23.8,100
"Hampshire","Oxfordshire","2014-02-01","Feb",2014,"Q1_2014",100,27.3,37.1,15.2,42.9,9.2,11.1,24.1,9,14.7,10.3,12.2,100
"Hertfordshire","Thames and Chiltern","2014-02-01","Feb",2014,"Q1_2014",0,22.7,50,16.7,0,9.4,22.2,24.2,6.2,22,33.3,16,100
"Humberside","Yorkshire and Humberside","2014-02-01","Feb",2014,"Q1_2014",0,16.8,28.1,7.5,36.4,5.1,0,7.5,3.8,13.9,13.3,5.7,100
"Kent","South East","2014-02-01","Feb",2014,"Q1_2014",33.3,32,26.3,10.4,12.5,13.9,27.8,23.9,6.6,22.5,16.1,23.9,100
"Lancashire","North West","2014-02-01","Feb",2014,"Q1_2014",0,22.9,29.4,11.8,0,7.5,11.8,17.1,7.8,6.5,15.6,12.1,100
"Leicestershire","East Midlands","2014-02-01","Feb",2014,"Q1_2014",0,20.8,15,28.6,14.3,10.3,0,21.4,13.5,17.4,11.1,4.6,100
"Lincolnshire","East Midlands","2014-02-01","Feb",2014,"Q1_2014",0,21.9,15.4,22.6,0,5.5,10,8.7,7.1,14.9,18.2,18.3,100
"Merseyside","Mersey-Cheshire","2014-02-01","Feb",2014,"Q1_2014",20,21.4,10.7,9.4,18.5,4.1,1.9,11.3,4,15.8,16.1,6.3,100
"Metropolitan and City","Greater London","2014-02-01","Feb",2014,"Q1_2014",23.1,30.7,40.3,21.4,24.1,10.3,9.7,19,7,19.2,21.4,20.5,100
"Norfolk","East of England","2014-02-01","Feb",2014,"Q1_2014",0,22.3,16.7,12,0,7,7.1,6.7,3.1,10.3,6.6,12.2,100
"Northamptonshire","East Midlands","2014-02-01","Feb",2014,"Q1_2014",0,27.2,33.3,8.7,33.3,11.3,40,25,8,15.6,18.8,7.4,100
"Northumbria","North East","2014-02-01","Feb",2014,"Q1_2014",0,25.4,21.1,18.8,19,11,33.3,15.2,11.4,14.9,19.4,9.9,100
"North Wales","Cymru/Wales","2014-02-01","Feb",2014,"Q1_2014",33.3,24.8,35.7,9.4,20,7.1,0,4.5,8.6,14,13.2,10.2,100
"North Yorkshire","Yorkshire and Humberside","2014-02-01","Feb",2014,"Q1_2014",0,24.6,0,28.6,0,7.3,18.2,6.7,6.8,15,6.7,6.5,100
"Nottinghamshire","East Midlands","2014-02-01","Feb",2014,"Q1_2014",0,21.5,25,12.1,5.6,9.6,4.3,20,6.3,23.2,11,8.2,100
"South Wales","Cymru/Wales","2014-02-01","Feb",2014,"Q1_2014",0,21.8,26.1,6.1,28.6,3.1,8.3,3.7,1.2,11,9.6,6,100
"South Yorkshire","Yorkshire and Humberside","2014-02-01","Feb",2014,"Q1_2014",0,23.4,30,14.9,25,7.6,19,8.8,6.8,8.2,17,8.8,100
"Staffordshire","West Midlands","2014-02-01","Feb",2014,"Q1_2014",0,34.7,19,20.8,13.6,9.8,28.6,13.9,9.3,20.2,12.2,6.8,100
"Suffolk","East of England","2014-02-01","Feb",2014,"Q1_2014",100,16.9,22.2,10.5,0,4.4,7.1,8.5,0,17.2,0,13.5,100
"Surrey","South East","2014-02-01","Feb",2014,"Q1_2014",0,26.5,19,4.5,0,7.3,16.7,10,2.5,30.4,21.8,10.1,100
"Sussex","South East","2014-02-01","Feb",2014,"Q1_2014",0,28.2,20,17.9,33.3,7.5,20,17.2,2.8,18.3,30.3,7.1,100
"Thames Valley","Thames and Chiltern","2014-02-01","Feb",2014,"Q1_2014",0,33.4,19.4,8.5,15.8,12.2,40,14.1,7.3,23.4,24.1,5.8,100
"Warwickshire","West Midlands","2014-02-01","Feb",2014,"Q1_2014",0,23.2,0,45.5,50,3.8,11.1,0,8.3,4.8,4,8.5,100
"West Mercia","West Midlands","2014-02-01","Feb",2014,"Q1_2014",20,22.2,26.9,7.1,31.3,4.8,12.5,10,2,15.8,15.2,11,100
"West Midlands","West Midlands","2014-02-01","Feb",2014,"Q1_2014",0,31.3,29.7,23.4,24.2,7.7,15.4,19.4,6.7,20.3,12.9,11.9,100
"West Yorkshire","Yorkshire and Humberside","2014-02-01","Feb",2014,"Q1_2014",50,23.7,32.4,12,12.5,8.6,13.9,16.4,7.1,19.1,17.4,15.4,100
"Wiltshire","Oxfordshire","2014-02-01","Feb",2014,"Q1_2014",0,17.3,16.7,0,100,7.4,33.3,4,5.9,4.5,19.6,13.6,100
"Avon and Somerset","South West","2014-03-01","Mar",2014,"Q1_2014",0,22,34.8,7.1,17.6,10.6,0,14.7,5.4,17.7,7.8,9.7,100
"Bedfordshire","Thames and Chiltern","2014-03-01","Mar",2014,"Q1_2014",0,26.6,0,13.3,0,12.5,10,12.5,10.3,28.6,9.1,14.4,100
"Cambridgeshire","East of England","2014-03-01","Mar",2014,"Q1_2014",0,23.1,0,10,16.7,6.2,9.1,21.4,2.3,8.3,19.4,11.9,100
"Cheshire","Mersey-Cheshire","2014-03-01","Mar",2014,"Q1_2014",0,22.1,28.6,9.1,50,3.4,23.5,10.9,5.2,10.5,17.6,6.1,100
"Cleveland","North East","2014-03-01","Mar",2014,"Q1_2014",0,29.8,21.1,11.6,44.4,7.3,33.3,26.4,13.9,23.3,28.2,2.9,100
"Cumbria","North West","2014-03-01","Mar",2014,"Q1_2014",0,11.6,28.6,11.8,0,1.3,0,12.2,2.7,6.7,4.8,11,100
"Derbyshire","East Midlands","2014-03-01","Mar",2014,"Q1_2014",0,30.7,18.8,12.1,25,11.3,0,24.3,12.3,8,18,12.2,100
"Devon and Cornwall","South West","2014-03-01","Mar",2014,"Q1_2014",50,26.6,15.4,16.7,0,3.8,28.6,17.4,7.7,16.5,15.5,7.7,100
"Dorset","Oxfordshire","2014-03-01","Mar",2014,"Q1_2014",0,22.2,57.1,0,0,10.2,0,18.8,6.8,14.3,8,15.6,100
"Durham","North East","2014-03-01","Mar",2014,"Q1_2014",0,26.7,29.4,14.7,20,8,12.5,16.1,8.7,20.8,11.8,8.2,0
"Dyfed Powys","Cymru/Wales","2014-03-01","Mar",2014,"Q1_2014",0,17.9,25,11.1,0,24.4,0,17.9,7,15,11.8,6.8,100
"Essex","East of England","2014-03-01","Mar",2014,"Q1_2014",0,20.7,24,7.5,13.3,6.8,20,13.8,3.1,11,13,8.9,100
"Gloucestershire","South West","2014-03-01","Mar",2014,"Q1_2014",0,17.9,25,4.5,0,7.4,0,4.3,4.9,14.8,16.7,9.1,100
"GreaterManchester","North West","2014-03-01","Mar",2014,"Q1_2014",20,22.1,46.2,4.8,8.9,3.6,17.5,12.3,5.1,9.1,9.9,5.6,100
"Gwent","Cymru/Wales","2014-03-01","Mar",2014,"Q1_2014",0,19.5,62.5,19.4,25,8.2,7.7,29.4,21.7,17.6,20,19.1,100
"Hampshire","Oxfordshire","2014-03-01","Mar",2014,"Q1_2014",100,30.3,44.7,18.6,36.4,7.5,27.8,14.1,5.3,21.6,12.4,11.7,100
"Hertfordshire","Thames and Chiltern","2014-03-01","Mar",2014,"Q1_2014",66.7,21.1,27.3,18.9,10.5,10.1,27.7,8.9,6.9,25,29,21.3,100
"Humberside","Yorkshire and Humberside","2014-03-01","Mar",2014,"Q1_2014",0,20.5,20.7,4.4,33.3,4.5,12.5,8.5,5,18.9,23.5,12.3,100
"Kent","South East","2014-03-01","Mar",2014,"Q1_2014",0,28.2,13.3,18.2,5.3,10.9,8,14.8,6.9,12.7,18.8,9.6,100
"Lancashire","North West","2014-03-01","Mar",2014,"Q1_2014",0,24.4,18.5,11,16.7,10,4.5,13.1,7.4,9.5,10.5,15,100
"Leicestershire","East Midlands","2014-03-01","Mar",2014,"Q1_2014",0,27.3,42.9,27.3,25,8.5,0,14.6,14.3,12.5,22.7,6.6,100
"Lincolnshire","East Midlands","2014-03-01","Mar",2014,"Q1_2014",100,20,16.7,0,0,9.5,25,5.6,4.7,12.5,25,11.2,100
"Merseyside","Mersey-Cheshire","2014-03-01","Mar",2014,"Q1_2014",0,22.4,25.8,2.5,16,3.4,2.3,15.7,6.7,16,12.9,6.5,100
"Metropolitan and City","Greater London","2014-03-01","Mar",2014,"Q1_2014",38.9,33.2,38.3,18.5,25,10.8,10.2,19.5,5.1,16.5,15.6,20.6,100
"Norfolk","East of England","2014-03-01","Mar",2014,"Q1_2014",0,21.8,40,13.6,11.1,9.4,25,10.6,6,16.9,20.3,15.7,100
"Northamptonshire","East Midlands","2014-03-01","Mar",2014,"Q1_2014",0,26.4,20,18.8,0,8.8,20,13.5,0,11.3,33.3,7,100
"Northumbria","North East","2014-03-01","Mar",2014,"Q1_2014",0,28.7,37.5,11.3,0,10.7,21.7,18.2,9.1,26.4,20.3,15.2,100
"North Wales","Cymru/Wales","2014-03-01","Mar",2014,"Q1_2014",0,26.6,30,23.1,12.5,4.3,33.3,6.8,8.3,17,3.9,7.2,100
"North Yorkshire","Yorkshire and Humberside","2014-03-01","Mar",2014,"Q1_2014",0,21.4,0,3.8,33.3,3.6,8.3,18.6,2.8,7,20,10.8,100
"Nottinghamshire","East Midlands","2014-03-01","Mar",2014,"Q1_2014",0,22.4,20,27.3,9.1,9.4,6.7,14.8,5.8,15.4,25.6,12.9,100
"South Wales","Cymru/Wales","2014-03-01","Mar",2014,"Q1_2014",0,32.8,35,5,16.7,5.6,5.6,10.7,2.6,9.6,8.3,14.8,100
"South Yorkshire","Yorkshire and Humberside","2014-03-01","Mar",2014,"Q1_2014",0,21.3,15,6.1,16.7,4.8,7.7,15.5,3,7.6,11.4,11.5,100
"Staffordshire","West Midlands","2014-03-01","Mar",2014,"Q1_2014",100,26.7,11.8,10.3,0,10.5,0,17.2,5.7,17.2,9.8,9.6,0
"Suffolk","East of England","2014-03-01","Mar",2014,"Q1_2014",0,22.3,75,11.8,0,0,8.3,12.5,1.7,4.3,12.2,10.3,100
"Surrey","South East","2014-03-01","Mar",2014,"Q1_2014",0,37,33.3,26.9,0,16.1,13,18.6,4.9,26.6,27.3,9.9,100
"Sussex","South East","2014-03-01","Mar",2014,"Q1_2014",100,32,21.9,0,50,9.9,13.3,14,6.6,20.8,15.6,6,100
"Thames Valley","Thames and Chiltern","2014-03-01","Mar",2014,"Q1_2014",66.7,34.6,22,14.3,16.7,8.4,18.8,9.4,6.4,26.1,27.7,5.9,100
"Warwickshire","West Midlands","2014-03-01","Mar",2014,"Q1_2014",0,13.5,57.1,18.2,0,9,0,13.3,0,2.9,17.2,11.4,100
"West Mercia","West Midlands","2014-03-01","Mar",2014,"Q1_2014",0,20.1,26.1,14.3,0,5.7,9.1,10.9,1.6,5.6,17.1,7.4,100
"West Midlands","West Midlands","2014-03-01","Mar",2014,"Q1_2014",0,32.1,25,17.5,34.3,7.8,6.7,14.1,7.6,15.7,11.4,11,100
"West Yorkshire","Yorkshire and Humberside","2014-03-01","Mar",2014,"Q1_2014",0,24.4,25,12.6,12.2,6.5,15.8,15.9,7.6,14.8,9.8,14.7,100
"Wiltshire","Oxfordshire","2014-03-01","Mar",2014,"Q1_2014",0,17,37.5,12.5,12.5,7.1,50,15.8,6.1,5.6,9.1,14.1,100
"Avon and Somerset","South West","2014-04-01","Apr",2014,"Q2_2014",0,21.2,18.2,5.1,25,7.3,0,10,1.5,13.9,19.5,16.4,100
"Bedfordshire","Thames and Chiltern","2014-04-01","Apr",2014,"Q2_2014",0,25,16.7,5.9,0,8.4,20,23.1,4.3,17.1,35.3,11.1,100
"Cambridgeshire","East of England","2014-04-01","Apr",2014,"Q2_2014",0,18.9,33.3,0,14.3,8.5,0,4.5,4.8,16.7,25,7.1,100
"Cheshire","Mersey-Cheshire","2014-04-01","Apr",2014,"Q2_2014",50,25.1,15,10.3,0,1.9,11.1,20.5,11.8,7.5,10.7,5.4,100
"Cleveland","North East","2014-04-01","Apr",2014,"Q2_2014",0,32.5,26.7,28.6,28.6,11.2,25,20,10,26.7,15.2,12.1,100
"Cumbria","North West","2014-04-01","Apr",2014,"Q2_2014",0,19.8,11.1,7.7,0,5.3,0,5.1,4.5,4.8,1.5,9.5,100
"Derbyshire","East Midlands","2014-04-01","Apr",2014,"Q2_2014",0,27.4,42.9,8.8,27.3,6.9,45,14.9,10.7,7.4,24.6,4.8,100
"Devon and Cornwall","South West","2014-04-01","Apr",2014,"Q2_2014",0,24.2,26.7,5.9,0,6.2,0,9.7,7.9,23.5,17.9,8.3,100
"Dorset","Oxfordshire","2014-04-01","Apr",2014,"Q2_2014",0,18,0,5.3,0,8.2,22.2,14.3,6.5,6.3,3.8,9,100
"Durham","North East","2014-04-01","Apr",2014,"Q2_2014",0,25.7,26.7,0,100,11.7,55.6,14,9.5,18.3,20,4.3,0
"Dyfed Powys","Cymru/Wales","2014-04-01","Apr",2014,"Q2_2014",0,29.2,100,15,0,8.2,33.3,12.9,6.2,28.2,0,7.8,100
"Essex","East of England","2014-04-01","Apr",2014,"Q2_2014",0,20.7,25.9,23.5,25,3.4,20,19.2,1,3.7,17.5,10.7,100
"Gloucestershire","South West","2014-04-01","Apr",2014,"Q2_2014",0,24.1,20,0,100,10.5,18.2,6.7,12,12.5,24,5.9,100
"GreaterManchester","North West","2014-04-01","Apr",2014,"Q2_2014",0,17.9,26.7,14.7,21.6,4,12.1,9.9,5.9,7.4,9,13,100
"Gwent","Cymru/Wales","2014-04-01","Apr",2014,"Q2_2014",0,25.2,50,20,0,5.3,0,28.6,5.2,18.3,20,23.3,100
"Hampshire","Oxfordshire","2014-04-01","Apr",2014,"Q2_2014",0,25.8,35.7,17.4,38.5,7.6,24,13.2,8.8,15.9,16.8,9.6,100
"Hertfordshire","Thames and Chiltern","2014-04-01","Apr",2014,"Q2_2014",0,22.8,16.7,12.1,0,10.6,17.9,6,6.6,8.8,14.3,13.2,100
"Humberside","Yorkshire and Humberside","2014-04-01","Apr",2014,"Q2_2014",0,11.7,40,14.6,0,5.8,6.7,6.4,5.2,11.1,18.5,16.8,100
"Kent","South East","2014-04-01","Apr",2014,"Q2_2014",35.7,23.9,39.3,2.2,25,9.8,21.4,25.3,3.5,28,18.3,8.9,100
"Lancashire","North West","2014-04-01","Apr",2014,"Q2_2014",0,29.7,30.2,14.9,18.2,5.2,17.4,16.2,7.3,9.3,10.3,15.5,100
"Leicestershire","East Midlands","2014-04-01","Apr",2014,"Q2_2014",20,21.3,45.5,18.8,50,5.7,9.1,15.6,2.7,14.5,22.7,7.2,100
"Lincolnshire","East Midlands","2014-04-01","Apr",2014,"Q2_2014",0,16.8,9.1,9.1,0,7.4,16.7,0,7.1,15.4,17.9,10.1,100
"Merseyside","Mersey-Cheshire","2014-04-01","Apr",2014,"Q2_2014",0,20.8,10.5,17.5,38.5,7.7,7.7,13.8,3.1,24.1,11.7,10.5,100
"Metropolitan and City","Greater London","2014-04-01","Apr",2014,"Q2_2014",8.7,32.6,34.3,15.8,14.4,9,12.3,17.1,6.1,18.5,13.6,22.4,100
"Norfolk","East of England","2014-04-01","Apr",2014,"Q2_2014",0,20.7,20,14.3,0,8.8,8.3,8.8,3.8,13.4,9.3,12.3,100
"Northamptonshire","East Midlands","2014-04-01","Apr",2014,"Q2_2014",0,34.3,31.6,8,8.3,14,12.5,8.7,6.1,17,21.4,11,100
"Northumbria","North East","2014-04-01","Apr",2014,"Q2_2014",0,31.6,52.4,12.9,11.8,15.1,11.8,18.9,16.2,23.8,23,13.2,100
"North Wales","Cymru/Wales","2014-04-01","Apr",2014,"Q2_2014",0,23.7,46.2,4.5,0,6.8,10,13.5,4.8,4.4,12.8,11.2,100
"North Yorkshire","Yorkshire and Humberside","2014-04-01","Apr",2014,"Q2_2014",50,13.2,0,25,14.3,9.3,14.3,32.1,5,12.5,45,9.3,100
"Nottinghamshire","East Midlands","2014-04-01","Apr",2014,"Q2_2014",0,28.1,20,0,42.1,4,0,13.5,3.8,17.9,21.5,7.2,100
"South Wales","Cymru/Wales","2014-04-01","Apr",2014,"Q2_2014",0,27.5,35,5.2,0,5.6,10,3,0,6.8,13,18.8,100
"South Yorkshire","Yorkshire and Humberside","2014-04-01","Apr",2014,"Q2_2014",0,19.6,10,4.3,35.7,4.1,18.2,8.5,5,15.2,14.6,10.5,100
"Staffordshire","West Midlands","2014-04-01","Apr",2014,"Q2_2014",0,30.6,11.8,4.8,20,14.4,8.3,25.7,7,18.3,10,16.9,100
"Suffolk","East of England","2014-04-01","Apr",2014,"Q2_2014",0,12.7,0,26.3,20,4.3,16.7,9.7,2.4,9,14,11.7,100
"Surrey","South East","2014-04-01","Apr",2014,"Q2_2014",0,24.4,38.9,37.5,11.1,11.2,5.6,17.9,3.5,17,28.8,12.4,100
"Sussex","South East","2014-04-01","Apr",2014,"Q2_2014",0,19.7,34.8,12.5,0,8.2,26.3,14.3,4.8,15.3,27.5,10.6,100
"Thames Valley","Thames and Chiltern","2014-04-01","Apr",2014,"Q2_2014",0,34.8,27.8,13,37.5,7.5,16.7,17.7,6.9,16,23.8,10.3,100
"Warwickshire","West Midlands","2014-04-01","Apr",2014,"Q2_2014",0,23.9,12.5,0,0,3.8,0,16.7,5.3,21.1,8.6,9.4,0
"West Mercia","West Midlands","2014-04-01","Apr",2014,"Q2_2014",50,21.2,14.3,17.6,16.7,6.6,0,7.8,1.8,13.2,10.9,11.2,100
"West Midlands","West Midlands","2014-04-01","Apr",2014,"Q2_2014",33.3,35.1,24.3,17.4,22.5,7.8,2.8,16.8,7.4,22.1,20.4,13.9,100
"West Yorkshire","Yorkshire and Humberside","2014-04-01","Apr",2014,"Q2_2014",0,23.4,16.7,19.6,6.3,6.3,12,18.1,4.4,20,16.1,14.9,100
"Wiltshire","Oxfordshire","2014-04-01","Apr",2014,"Q2_2014",0,24.5,30.8,0,0,7.2,20,16.1,0,18.5,13.3,14.1,100
"Avon and Somerset","South West","2014-05-01","May",2014,"Q2_2014",0,20.8,37,13.6,0,6.2,4,18.2,4.1,17.7,15,28.8,100
"Bedfordshire","Thames and Chiltern","2014-05-01","May",2014,"Q2_2014",0,32.4,20,28.6,14.3,15.5,11.1,23.8,10.7,20.6,27.8,14.9,100
"Cambridgeshire","East of England","2014-05-01","May",2014,"Q2_2014",0,24.7,16.7,5.9,0,6.2,23.1,13.8,2.5,18.8,0,11.9,100
"Cheshire","Mersey-Cheshire","2014-05-01","May",2014,"Q2_2014",0,16.1,9.1,5.6,100,4.9,18.2,9.1,8.8,6.3,6.2,9.4,100
"Cleveland","North East","2014-05-01","May",2014,"Q2_2014",0,30.8,30,15.4,0,12.7,27.3,19.3,10.7,21.9,29.4,19.2,100
